,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
121,Laughter,"Official HIGE DANdism",33712,https://open.spotify.com/track/75fYFVXHzzwfc5yzFWlIlZ
122,旅路,"Fujii Kaze",33301,https://open.spotify.com/track/1EM9pvygHqQm03as6sxLg9
123,Yesterday,"Official HIGE DANdism",33099,https://open.spotify.com/track/1kMlcLyljkrShV0LSdSGBz
124,"HADASHi NO STEP",LiSA,32911,https://open.spotify.com/track/2chbq2OYbQeg5uDmr0bNhj
125,"Levitating (feat. DaBaby)","Dua Lipa",32738,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
126,DNA,BTS,32603,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH
127,"Wherever you are","ONE OK ROCK",32556,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm
128,Lights,BTS,32479,https://open.spotify.com/track/3TDUktzfYXMWjkWqwoT5F1
129,正しくなれない,ZUTOMAYO,31712,https://open.spotify.com/track/2FHexlZenTsS3lsjUYHiDx
130,"Love Song",Uru,31685,https://open.spotify.com/track/2aAuO61alPO20xyePFHjdf
131,愛を知るまでは,Aimyon,31644,https://open.spotify.com/track/5gh0y6ZmuppQvoPbAGkeE2
132,HANABI,Mr.Children,31500,https://open.spotify.com/track/0AU7xhipAm9Saq0k8A9Iua
133,WAVEBODY,"JP THE WAVY",31417,https://open.spotify.com/track/2N2qxWPU60swo6fm1SnOgr
134,死神,"Kenshi Yonezu",31171,https://open.spotify.com/track/3tw4Jysd48kMcKsdnGYLee
135,アカリ,GReeeeN,31040,https://open.spotify.com/track/7I8CmmrqsTgCjHPeSkkkIY
136,キセキ,GReeeeN,30873,https://open.spotify.com/track/7ztdl6cnbJgHRdMkKldkts
137,Beggin',Måneskin,30761,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
138,名前を呼ぶよ,"SUPER BEAVER",30758,https://open.spotify.com/track/5iTyiE1jAfmjorzFLc4Frg
139,"How You Like That",BLACKPINK,30742,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
140,"GOOD and BAD","HENTAI SHINSHI CLUB",30584,https://open.spotify.com/track/4MSCgvCx2X24vwBQM9fmGV
141,君はロックを聴かない,Aimyon,30395,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
142,"Step and a step",NiziU,30197,https://open.spotify.com/track/5DgAgJbHcm74RyA9YKj6k1
143,"TEENAGE VIBE",kZm,30126,https://open.spotify.com/track/0X5j6Fw8077d74Q1WtyiqF
144,第六感,Reol,30114,https://open.spotify.com/track/22sQUmLhT8umlEhQzDrzfJ
145,Euphoria,BTS,30060,https://open.spotify.com/track/3p6hnejEQYXkiTO1lAzVc0
146,"I CAN'T STOP ME",TWICE,29923,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
147,キンモクセイ,オレンジスパイニクラブ,29894,https://open.spotify.com/track/2yXTuH22VMVjFME060zJRv
148,LITMUS,"Ryokuoushoku Shakai",29851,https://open.spotify.com/track/4SKkKCv06oN15DHpyKUnJk
149,カイト,ARASHI,29825,https://open.spotify.com/track/5lo3L98nR2VpN2dM9UFJu0
150,何なんw,"Fujii Kaze",29783,https://open.spotify.com/track/2Nl3vx5qRnATIckVRZxb4T
151,カタコト,"sloppy dim",29707,https://open.spotify.com/track/3ck6DbwKM4maTik8s7j3s4
152,うたかた歌,RADWIMPS,29621,https://open.spotify.com/track/6kXO7IRJUSVSzbUEhXdqJs
153,イージーゲーム,natsumi,29539,https://open.spotify.com/track/096qZRdXPOyvb5OP8NI7pw
154,さよならエレジー,"Masaki Suda",29317,https://open.spotify.com/track/3oYD2O31b05fILFpv0AXRI
155,チェリー,SPITZ,29253,https://open.spotify.com/track/1ihCiJaXRl4f6Sy4LJov5z
